areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E09000033,Westminster,utla,2020-10-09,1
E10000034,Worcestershire,utla,2020-10-09,5
W06000023,Powys,utla,2020-10-09,0
E06000003,Redcar and Cleveland,utla,2020-10-02,0
E06000014,York,utla,2020-10-02,0
E06000050,Cheshire West and Chester,utla,2020-10-02,0
E08000001,Bolton,utla,2020-10-02,2
E08000016,Barnsley,utla,2020-10-02,0
E08000031,Wolverhampton,utla,2020-10-02,2
E08000032,Bradford,utla,2020-10-02,6
E09000018,Hounslow,utla,2020-10-02,1
E09000032,Wandsworth,utla,2020-10-02,1
E09000033,Westminster,utla,2020-10-02,0
E10000034,Worcestershire,utla,2020-10-02,2
W06000023,Powys,utla,2020-10-02,0
E06000003,Redcar and Cleveland,utla,2020-09-25,0
E06000014,York,utla,2020-09-25,0
E06000050,Cheshire West and Chester,utla,2020-09-25,1
E08000001,Bolton,utla,2020-09-25,4
E08000016,Barnsley,utla,2020-09-25,1
E08000031,Wolverhampton,utla,2020-09-25,0
E08000032,Bradford,utla,2020-09-25,5
E09000018,Hounslow,utla,2020-09-25,1
E09000032,Wandsworth,utla,2020-09-25,0
E09000033,Westminster,utla,2020-09-25,0
E10000034,Worcestershire,utla,2020-09-25,1
W06000023,Powys,utla,2020-09-25,0
E06000003,Redcar and Cleveland,utla,2020-09-18,1
E06000014,York,utla,2020-09-18,1
E06000050,Cheshire West and Chester,utla,2020-09-18,1
E08000001,Bolton,utla,2020-09-18,0
E08000016,Barnsley,utla,2020-09-18,0
E08000031,Wolverhampton,utla,2020-09-18,1
E08000032,Bradford,utla,2020-09-18,8
E09000018,Hounslow,utla,2020-09-18,0
E09000032,Wandsworth,utla,2020-09-18,0
E09000033,Westminster,utla,2020-09-18,0
E10000034,Worcestershire,utla,2020-09-18,0
W06000023,Powys,utla,2020-09-18,0
E06000003,Redcar and Cleveland,utla,2020-09-11,0
E06000014,York,utla,2020-09-11,0
E06000050,Cheshire West and Chester,utla,2020-09-11,1
E08000001,Bolton,utla,2020-09-11,3
E08000016,Barnsley,utla,2020-09-11,1
E08000031,Wolverhampton,utla,2020-09-11,1
E08000032,Bradford,utla,2020-09-11,3
E09000018,Hounslow,utla,2020-09-11,1
E09000032,Wandsworth,utla,2020-09-11,0
E09000033,Westminster,utla,2020-09-11,0
E10000034,Worcestershire,utla,2020-09-11,0
W06000023,Powys,utla,2020-09-11,0
E06000003,Redcar and Cleveland,utla,2020-09-04,0
E06000014,York,utla,2020-09-04,0
E06000050,Cheshire West and Chester,utla,2020-09-04,0
E08000001,Bolton,utla,2020-09-04,0
E08000016,Barnsley,utla,2020-09-04,1
E08000031,Wolverhampton,utla,2020-09-04,2
E08000032,Bradford,utla,2020-09-04,1
